KundenNr;Anrede;Titel;Nachname;Vorname;Geburtsdatum;Geschlecht;Telefon;Mobile;Email;Status;Strasse;Plz;Ort
166;;;Baumann;Roger;25.01.1968;;081 684 83 29;076 138 68 55;roger.baumann@example.ch;Aktiv;Bachstrasse 66;1200;Genf
167;Herr;;Kaufmann;David;09.04.1977;Männlich;071 682 37 19;078 911 71 32;david.kaufmann@example.ch;Aktiv;Hauptstrasse 74;1200;Genf
168;Frau;;Iten;Ladina;21.10.1996;Weiblich;081 490 20 17;078 456 65 63;ladina.iten@example.ch;Aktiv;Seestrasse 94;1200;Genf
169;Frau;Dr. med.;Odermatt;Barbara;21.12.1979;Weiblich;061 636 15 50;077 434 74 99;barbara.odermatt@example.ch;Passiv;Sonnenweg 7;8000;Zürich
170;Herr;;Blanc;Martin;25.08.1958;Männlich;044 327 65 47;079 251 26 53;martin.blanc2@example.ch;Aktiv;Waldweg 65;1700;Freiburg
171;Herr;;Wenger;Sven;13.09.2002;Männlich;081 544 99 26;077 592 81 35;sven.wenger@example.ch;Aktiv;Hauptstrasse 52;4000;Basel
172;Frau;;Brunner;Ladina;08.04.1941;Weiblich;071 431 97 83;076 215 95 62;ladina.brunner@example.ch;Aktiv;Bergstrasse 100;8000;Zürich
173;Herr;;Brunner;Yannick;20.06.1967;Männlich;061 731 66 89;077 551 15 39;yannick.brunner@example.ch;Aktiv;Feldweg 22;8000;Zürich
174;Herr;;Steiner;Nicolas;24.02.1998;Männlich;031 989 46 11;078 810 24 49;nicolas.steiner@example.ch;Aktiv;Schulstrasse 80;8000;Zürich
175;Herr;Dr.;Sutter;Peter;18.12.1982;Männlich;081 868 43 80;079 737 28 98;peter.sutter@example.ch;Aktiv;Kirchweg 70;4000;Basel
